,score
17465,9.0
7410,0.0
15414,10.0
7201,9.01
7203,8.7
18787,8.0
15311,10.0
3281,0.0
10333,9.1
2766,8.79
1315,0.0
7579,4.0
16231,9.0
16237,8.0
18639,8.49
7123,8.71
6977,8.74
11120,9.0
2927,9.5
15619,10.0
6496,8.87
10255,8.67
7896,8.0
555,8.33
14435,0.0
5950,8.89
11910,10.0
8043,8.46
3292,8.92
17674,0.0
17614,6.0
3735,8.0
5607,0.0
11195,8.9
2587,10.0
10529,0.0
11362,9.5
12000,0.0
12562,8.49
2453,9.5
10718,9.25
5005,8.24
1746,8.29
12470,10.0
17709,0.0
8792,9.11
5411,10.0
12157,9.05
6400,9.2
8234,0.0
4440,8.51
5161,8.0
16563,8.82
13127,8.37
7771,8.11
11214,0.0
15549,9.18
1064,0.0
14444,6.0
17764,9.06
3891,8.21
7544,8.73
13267,0.0
7942,0.0
12837,8.32
14764,1.0
6734,9.03
3265,9.02
1255,7.0
8954,8.65
4484,8.35
18287,8.76
14660,8.22
793,6.0
16405,9.21
17184,0.0
341,10.0
12854,7.0
14795,8.2
9640,0.0
15182,8.7
13648,7.75
5829,9.0
11787,0.0
3494,0.0
11754,0.0
9766,7.02
15721,0.0
1313,0.0
1729,0.0
15116,0.0
4436,10.0
8836,8.84
10478,8.5
6626,8.67
1476,8.44
9017,8.46
17804,0.0
12280,7.51
8131,8.21
2414,10.0
9171,0.0
17991,9.0
16689,0.0
1572,7.0
6736,10.0
4515,9.33
5370,9.67
7929,8.82
6575,4.0
13443,8.94
18382,5.5
6465,9.2
5598,8.75
11596,0.0
15581,8.5
18341,10.0
3539,8.46
635,9.0
716,0.0
826,0.0
7527,8.71
14376,0.0
3297,0.0
11013,9.1
16050,8.54
15632,10.0
12629,8.0
1628,8.0
11555,0.0
8095,0.0
3589,8.67
11591,0.0
17728,7.0
13263,8.3
2252,10.0
13876,0.0
19008,8.72
18973,8.56
6011,9.33
4482,0.0
13539,8.02
5604,8.0
6534,8.62
408,8.86
263,9.71
16532,0.0
409,9.5
6119,8.91
10902,8.64
9214,8.49
4498,8.0
3884,7.5
130,6.33
16834,8.73
4388,8.76
8769,7.9
11842,0.0
4655,8.0
11974,8.32
4766,8.7
6805,9.0
2923,9.4
6424,10.0
4677,8.0
16476,8.26
